"","player_id","seconds","bpm","total","vorp","year","type"
"90","jonesda03",881,-15.9,2880,-4.3,2020,"reg"
"91","fernabr01",580,-20.5,2880,-3.7,2020,"reg"
"92","wallaty01",430,-9.5,2880,-1.1,2020,"reg"
"93","youngtr01",2578,2.6,3180,3.7,2020,"reg"
"94","huntede01",2338,-4.3,3180,-1.7,2020,"reg"
"95","parkeja01",2212,8,3180,7,2020,"reg"
"96","huertke01",1855,-5.7,3180,-2.2,2020,"reg"
"97","lenal01",916,-8.7,3180,-1.9,2020,"reg"
"98","bembrde01",2401,-3.3,3180,-1,2020,"reg"
"99","jonesda03",1445,1.1,3180,1.4,2020,"reg"
"100","wallaty01",1012,-3.9,3180,-0.6,2020,"reg"
"101","reddica01",953,-14.7,3180,-3.8,2020,"reg"
"102","fernabr01",187,-3.9,3180,-0.1,2020,"reg"
"103","youngtr01",2480,12.9,2880,12.8,2020,"reg"
"104","huntede01",2419,-3,2880,-0.8,2020,"reg"
"105","parkeja01",1995,-5.1,2880,-2.1,2020,"reg"
"106","jonesda03",1185,4.4,2880,2.6,2020,"reg"
"107","huertke01",930,17,2880,6.1,2020,"reg"
"108","bembrde01",1779,-4,2880,-1.2,2020,"reg"
"109","lenal01",1316,2.9,2880,2.2,2020,"reg"
"110","reddica01",1201,-9,2880,-2.9,2020,"reg"
"111","fernabr01",565,-7.9,2880,-1.2,2020,"reg"
"112","wallaty01",530,-26.6,2880,-4.5,2020,"reg"
"113","youngtr01",2147,-1.3,2880,0.5,2020,"reg"
"114","huntede01",2034,-3,2880,-0.7,2020,"reg"
"115","parkeja01",1906,4.2,2880,4.1,2020,"reg"
"116","reddica01",1257,-12.5,2880,-4.6,2020,"reg"
"117","jonesda03",1133,1.4,2880,1.3,2020,"reg"
"118","lenal01",1545,3.3,2880,2.8,2020,"reg"
"119","bembrde01",1163,2.5,2880,1.8,2020,"reg"
"120","wallaty01",1027,-14.8,2880,-4.6,2020,"reg"
"121","fernabr01",919,-13.6,2880,-3.7,2020,"reg"
"122","crabbal01",886,-6.8,2880,-1.5,2020,"reg"
"123","brownch02",383,3.6,2880,0.7,2020,"reg"
"124","reddica01",1938,-6.5,2880,-3,2020,"reg"
"125","youngtr01",1730,-4.1,2880,-1.3,2020,"reg"
"126","huntede01",1543,-13.7,2880,-6.3,2020,"reg"
"127","parkeja01",1421,-5.7,2880,-1.8,2020,"reg"
"128","jonesda03",1407,-5.2,2880,-1.6,2020,"reg"
"129","bembrde01",1513,-10,2880,-4.2,2020,"reg"
"130","lenal01",1068,-15.5,2880,-5,2020,"reg"
"131","fernabr01",1034,-4,2880,-0.7,2020,"reg"
"132","crabbal01",913,3.3,2880,1.7,2020,"reg"
"133","turneev01",907,3.9,2880,1.9,2020,"reg"
"134","wallaty01",653,-10.6,2880,-1.9,2020,"reg"
"135","brownch02",273,-4.2,2880,-0.2,2020,"reg"
"136","youngtr01",2343,1.3,2880,2.7,2020,"reg"
"137","huntede01",2032,-1,2880,0.7,2020,"reg"
"138","parkeja01",1923,-3.7,2880,-1.1,2020,"reg"
"139","reddica01",1622,-2.3,2880,-0.2,2020,"reg"
"140","jonesda03",1544,1.6,2880,1.9,2020,"reg"
"141","bembrde01",1071,-11.4,2880,-3.5,2020,"reg"
"142","crabbal01",907,8.2,2880,3.2,2020,"reg"
"143","turneev01",902,-6.2,2880,-1.3,2020,"reg"
"144","lenal01",885,-8.2,2880,-1.9,2020,"reg"
"145","fernabr01",763,-15.8,2880,-3.7,2020,"reg"
"146","wallaty01",151,-7.2,2880,-0.3,2020,"reg"
"147","parsoch01",149,-7,2880,-0.3,2020,"reg"
"148","brownch02",106,20.5,2880,0.8,2020,"reg"
"149","youngtr01",1982,1.3,2880,2.3,2020,"reg"
"150","huntede01",1712,9.1,2880,6.6,2020,"reg"
"151","reddica01",1697,-3.5,2880,-0.9,2020,"reg"
"152","parkeja01",1599,-1,2880,0.6,2020,"reg"
"153","jonesda03",1196,-3.4,2880,-0.6,2020,"reg"
"154","cartevi01",1426,-6.1,2880,-2,2020,"reg"
"155","bembrde01",1425,0.2,2880,1.1,2020,"reg"
"156","crabbal01",1178,-3,2880,-0.4,2020,"reg"
"157","turneev01",898,-1.2,2880,0.2,2020,"reg"
"158","fernabr01",773,2.1,2880,1.1,2020,"reg"
