"","X","player_id","seconds","bpm","total","vorp","year","type"
"1",1,"drumman01",2448,13,2880,12.8,2020,"reg"
"2",2,"snellto01",1913,-1.8,2880,0.1,2020,"reg"
"3",3,"brownbr01",1729,-6,2880,-2.4,2020,"reg"
"4",4,"morrima02",1356,-10.9,2880,-4.2,2020,"reg"
"5",5,"jacksre01",1221,2.6,2880,2,2020,"reg"
"6",6,"kennalu01",1684,15,2880,9.9,2020,"reg"
"7",7,"rosede01",1595,2.4,2880,2.4,2020,"reg"
"8",8,"gallola01",1201,-2.9,2880,-0.4,2020,"reg"
"9",9,"makerth01",959,-8.1,2880,-2,2020,"reg"
"10",10,"woodch01",230,-18.6,2880,-1.3,2020,"reg"
"11",11,"fraziti01",64,-46.5,2880,-1,2020,"reg"
"12",12,"drumman01",2205,4.7,2880,5.1,2020,"reg"
"13",13,"snellto01",2016,-1.9,2880,0.1,2020,"reg"
"14",14,"morrima02",1543,-12.8,2880,-5.8,2020,"reg"
"15",15,"brownbr01",1044,-18.8,2880,-6.1,2020,"reg"
"16",16,"jacksre01",925,-8.4,2880,-2.1,2020,"reg"
"17",17,"kennalu01",1831,-1.3,2880,0.4,2020,"reg"
"18",18,"gallola01",1551,-2.4,2880,-0.2,2020,"reg"
"19",19,"rosede01",1516,7.5,2880,5,2020,"reg"
"20",20,"makerth01",1156,-4.3,2880,-0.9,2020,"reg"
"21",21,"fraziti01",613,-2.9,2880,-0.2,2020,"reg"
"22",22,"morrima02",1588,4.9,2880,3.8,2020,"reg"
"23",23,"snellto01",1497,4,2880,3.1,2020,"reg"
"24",24,"drumman01",1478,-6.8,2880,-2.5,2020,"reg"
"25",25,"fraziti01",1276,-7.8,2880,-2.6,2020,"reg"
"26",26,"brownbr01",945,-18.8,2880,-5.5,2020,"reg"
"27",27,"kennalu01",1920,-1.2,2880,0.5,2020,"reg"
"28",28,"rosede01",1604,12,2880,7.8,2020,"reg"
"29",29,"gallola01",1547,2.3,2880,2.3,2020,"reg"
"30",30,"makerth01",1402,-5.4,2880,-1.7,2020,"reg"
"31",31,"woodch01",1143,0.3,2880,0.9,2020,"reg"
"32",32,"drumman01",2298,-2.2,2880,-0.2,2020,"reg"
"33",33,"kennalu01",1855,6.4,2880,5.4,2020,"reg"
"34",34,"morrima02",1595,-6,2880,-2.2,2020,"reg"
"35",35,"snellto01",1339,1.9,2880,1.8,2020,"reg"
"36",36,"fraziti01",1314,-0.5,2880,0.7,2020,"reg"
"37",37,"brownbr01",1584,3.7,2880,3.1,2020,"reg"
"38",38,"rosede01",1564,-13.7,2880,-6.4,2020,"reg"
"39",39,"woodch01",1285,23.7,2880,11.5,2020,"reg"
"40",40,"gallola01",982,-9,2880,-2.4,2020,"reg"
"41",41,"makerth01",584,0.2,2880,0.4,2020,"reg"
"42",42,"drumman01",2120,-0.6,2880,1,2020,"reg"
"43",43,"morrima02",1928,-1.7,2880,0.2,2020,"reg"
"44",44,"kennalu01",1598,-4.6,2880,-1.4,2020,"reg"
"45",45,"fraziti01",1308,-5.7,2880,-1.7,2020,"reg"
"46",46,"snellto01",1129,-1.9,2880,0,2020,"reg"
"47",47,"gallola01",1589,7.4,2880,5.2,2020,"reg"
"48",48,"brownbr01",1270,-16.2,2880,-6.3,2020,"reg"
"49",49,"rosede01",1232,9.8,2880,5,2020,"reg"
"50",50,"woodch01",952,-6.7,2880,-1.6,2020,"reg"
"51",51,"makerth01",760,0.5,2880,0.7,2020,"reg"
"52",52,"mykhasv01",514,18.7,2880,3.7,2020,"reg"
"53",53,"drumman01",2106,5.4,2880,5.4,2020,"reg"
"54",54,"kennalu01",1968,0.3,2880,1.6,2020,"reg"
"55",55,"morrima02",1907,-10,2880,-5.3,2020,"reg"
"56",56,"snellto01",1640,-4.8,2880,-1.6,2020,"reg"
"57",57,"fraziti01",1008,-8.2,2880,-2.2,2020,"reg"
