"player_id","t_p_value","t","ks_p_value","D","ad_p_value","AD","tadj","kadj","aadj"
"jordami01",2.60361626751986e-07,-5.28926953171603,1.79293196324313e-06,0.213051363295256,7.1434e-08,13.9,2.52550777949426e-05,8.69572002172916e-05,3.464549e-06
"greenda01",0.963512221482668,0.0464255784676923,0.861577309300974,0.1375,0.79991,0.446,0.992686829108719,0.94455306253572,0.882688977272727
"oaklech01",0.0342087634789626,-2.13584129431106,0.0436301521966263,0.128913202996157,0.039823,2.68,0.132730002298375,0.201841781413316,0.15451324
"pippesc01",0.0317027930841032,-2.1594584322626,0.159807925215533,0.0912961210974456,0.037307,2.74,0.132730002298375,0.455922610173725,0.150782458333333
"grantho01",0.00775886158772043,-2.68910994478784,0.0162452859144856,0.128359589833209,0.0032908,4.87,0.0674458184205126,0.121214825669624,0.0290188727272727
"cartwbi01",0.944019757911252,-0.0703374499499619,0.883160463809395,0.0629921259842519,0.86705,0.381,0.984622758251521,0.94455306253572,0.924218131868132
"rodmade01",9.37053286171915e-05,3.96735066043924,0.00245383843338693,0.154390504266435,0.00032925,6.94,0.0015149028126446,0.0297527910048165,0.00399215625
"parisro01",0.937741047532017,0.0782481869086466,0.997707514385924,0.0398722003064584,0.99061,0.2,0.984622758251521,0.997707514385924,0.99162
"wallabe01",0.00834381258810465,-2.67108538415932,0.0288703802253384,0.137386671651556,0.0078652,4.09,0.0674458184205126,0.175026680116114,0.0508616266666667
"korveky01",0.154825422931924,1.42908026007122,0.131146418599636,0.107391713747646,0.064428,2.29,0.385078616010171,0.40014986909723,0.19707671875
"butleji01",0.0128090624946959,-2.52183838729394,0.095742083441792,0.123972683386318,0.022934,3.15,0.077654941374094,0.346405515926994,0.105933238095238
"hamilri01",0.0119001907795376,-2.54427276643132,0.00642222655731004,0.159943714821764,0.0011329,5.83,0.0769545670410098,0.0622955976059074,0.0122101444444444
"gasolpa01",0.295095946832113,-1.05049123250184,0.467661268135608,0.0822753379107829,0.17789,1.49,0.561443208806371,0.768866830663626,0.375115869565217
"rondora01",5.98094433051332e-05,-4.1174707378105,0.00145699570549752,0.176178429884476,4.8055e-05,8.72,0.00116030320011958,0.0235547639055433,0.000932267
"wadedw01",0.112433423857212,-1.59333457195518,0.54590882164006,0.0648967077262835,0.17614,1.5,0.307214560375791,0.84052628093787,0.375115869565217
"mchalke01",0.0166808489697789,-2.42133991068361,0.0181677059441148,0.158193128799661,0.0099327,3.88,0.0904158819093106,0.125876248327081,0.06021699375
"birdla01",0.426442455828097,0.797573113164027,0.623360070434032,0.0834885935494556,0.62945,0.62,0.710219769566197,0.885348831992669,0.802315974025974
"johnsde01",0.0227724508491552,-2.3088784488652,0.132008204238261,0.136260503154063,0.03159,2.88,0.110446386618403,0.40014986909723,0.133227391304348
"aingeda01",0.801048733797619,0.252390794959959,0.982581303609431,0.0465447154471545,0.95459,0.277,0.916488794212286,0.997707514385924,0.985055638297872
"bowenbr01",0.0241875207320753,-2.27421265352,0.210192865695136,0.0981290568919435,0.051442,2.47,0.111723310048157,0.501616707729185,0.172064620689655
"billuch01",0.206536519326689,-1.26741306377704,0.404925745603516,0.0818215203819317,0.33855,1.04,0.48863517987046,0.70759596591605,0.548518833333333
"piercpa01",0.874870250400551,0.157670826360129,0.415803815022833,0.0719285182427401,0.29643,1.13,0.932554003174214,0.70759596591605,0.532476111111111
"paytoga01",0.017710327384298,2.40235274664192,0.0123362575339391,0.162053017862529,0.027172,3.01,0.0904158819093106,0.0997180817326742,0.119803818181818
"allenra02",0.608858062497186,0.51257602031875,0.0353692655325078,0.134353741496599,0.018578,3.33,0.811420159610646,0.201812868038427,0.100114777777778
"garneke01",0.118255286260258,-1.57251908070628,0.412668446020888,0.0988313008130083,0.22424,1.32,0.307214560375791,0.70759596591605,0.453151666666667
